Stations_ID;Von_Datum;Bis_Datum;Stationsname;Parameter;Parameterbeschreibung;Einheit;Datenquelle (Strukturversion=SV);Zusatz-Info;Besonderheiten;Literaturhinweis;eor;
3126;19910101;20010331;Magdeburg;MO_N;Monatsmittel des Bedeckunsgrades;Achtel;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK);arithm.Mittel aus Tagesmittelwerten;;;eor;
3126;20010401;20250531;Magdeburg;MO_N;Monatsmittel des Bedeckunsgrades;Achtel;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Tagesmittelwerten;;;eor;
3126;18800701;18801231;Magdeburg;MO_RR;Monatssumme der Niederschlagshoehe;mm;Monatswerte (Messnetz=6) ohne Tageswerte;Summe aus Tagessummen;;;eor;
3126;18810101;19441231;Magdeburg;MO_RR;Monatssumme der Niederschlagshoehe;mm;KLIDADIGI: Niederschlagsdaten nacherfasst (1 Termin: ca 07 MOZ und Tagessummen);Summe aus Tagessummen;;;eor;
3126;19450201;19461231;Magdeburg;MO_RR;Monatssumme der Niederschlagshoehe;mm;Monatswerte (Messnetz=6) ohne Tageswerte;Summe aus Tagessummen;;;eor;
3126;19470101;19901231;Magdeburg;MO_RR;Monatssumme der Niederschlagshoehe;mm;Niederschlagsdaten aus Niederschlagsroutine des eMD bis 10/1991 (1 Termin ca 7 MOZ und Tagessummen);Summe aus Tagessummen;;;eor;
3126;19910101;20010331;Magdeburg;MO_RR;Monatssumme der Niederschlagshoehe;mm;Niederschlagsdaten aus Niederschlagsroutine des DWD oder Vorgängerdienste bis Einrichtung Nst(A) oder Nst(k) (1 Termin ca 7 MOZ und Tagessummen);Summe aus Tagessummen;;;eor;
3126;20010401;20250531;Magdeburg;MO_RR;Monatssumme der Niederschlagshoehe;mm;Niederschlagsdaten aus Niederschlagsroutine nach 01.04.2001 Terminwert und Tagessummen generiert aus SYNOP-Meldung des 06 UTC Termins;Summe aus Tagessummen;;;eor;
3126;19360101;19450131;Magdeburg;MO_SD_S;Monatssumme der Sonnenscheindauer;Stunde;KLIDADIGI: Klimadaten nacherfasst (3 Termine:  07, 14, 21 MOZ und Tageswerte);Summe aus Tagessummen;;;eor;
3126;19510401;19661231;Magdeburg;MO_SD_S;Monatssumme der Sonnenscheindauer;Stunde;Klimadaten aus der Klimaroutine des eMD 1949-1966, basierend auf den drei Klimaterminen (Termine  07, 14, 21 MOZ und Tageswerte);Summe aus Tagessummen;;;eor;
3126;19670101;19901231;Magdeburg;MO_SD_S;Monatssumme der Sonnenscheindauer;Stunde;Klimadaten aus der Klimaroutine des eMD 1967-1990, Terminwerte basierend auf Daten der synoptischen Haupttermine (00,06,12,18 UTC) und Tageswerte, sowie Klimadaten nacherfasst im Rahmen des Projektes KLIDADIGI zu unterschiedlichen Zeiträumen.;Summe aus Tagessummen;;;eor;
